,id,tipo,nombre,latitud,longitud,elevacion,iso_region,Ciudad,score
548,39048,small_airport,Veinticinco De Mayo Airport,-35.4464,-60.0886,164.0,AR-B,Veinticinco De Mayo,50
549,39049,small_airport,Vera Airport,-29.4681,-60.2261,190.0,AR-S,Vera,50
550,39050,small_airport,Veronica Airport,-35.4,-57.3667,55.0,AR-B,Veronica,50
551,39051,small_airport,Victoria Airport,-32.5844,-60.1847,75.0,AR-E,Victoria,50
552,39052,small_airport,Victorica Airport,-36.2374992371,-65.450553894,1020.0,AR-L,Victorica,50
553,38942,small_airport,Martín Fierro Airport,-33.9402999878,-64.3696975708,754.0,AR-X,Vicuña Mackena,50
554,39072,small_airport,Villa Angela Airport,-27.5915,-60.6864,246.0,AR-H,Villa Angela,50
555,39020,small_airport,Suboficial Auxiliar Miguel A. Cardone Airport,-33.9617,-61.6325,337.0,AR-S,Villa Cañas,50
556,38696,small_airport,Acindar Airport,-33.2647,-60.2842,82.0,AR-S,Villa Constitución,50
557,41548,small_airport,Villa De Soto Airport,-30.8652000427,-64.97899627689999,2013.0,AR-X,Villa de Soto,50
558,39053,small_airport,Villa Del Rosario Airport,-31.579313,-63.539184,830.0,AR-X,Villa Del Rosario,50
559,41547,small_airport,Villa General Mitre Airport,-30.7005996704,-64.0430984497,1760.0,AR-X,Villa General Mitre,50
560,39063,small_airport,Villa Maria Airport,-32.389400482199996,-63.258598327600005,672.0,AR-X,Villa Maria del Rio Seco,50
561,38818,small_airport,Estancia Don Roberto Airport,-34.0013999939,-65.366897583,1430.0,AR-D,Villa Mercedes,50
562,15,small_airport,Villa Minetti Airport,-28.6201,-61.6038,246.0,AR-S,Villa Minetti,50
563,39055,small_airport,Villa Ocampo Airport,-28.4969,-59.3256,160.0,AR-S,Villa Ocampo,50
564,39056,small_airport,Villa Regina Airport,-39.073600769,-67.08000183109999,934.0,AR-R,Villa Regina,50
565,39057,small_airport,Villa Rumipal Airport,-32.1850013733,-64.4882965088,2184.0,AR-X,Villa Rumipal,50
566,30530,small_airport,Villaguay Airport,-31.855,-59.0756,131.0,AR-E,Villaguay,50
567,42824,small_airport,El Jagüel Airport,-31.7994,-59.0339,200.0,AR-E,Villaguay,50
568,42825,small_airport,El Malagueño Airport,-31.6994,-59.4006,180.0,AR-E,Villaguay,50
569,42888,small_airport,Yapeyú Airport,-29.443929999999998,-56.823915,214.0,AR-W,Yapeyú,50
570,39042,heliport,Almafuerte / Transener S.A. Heliport,-32.203,-64.315,1640.0,AR-X,Almafuerte,25
571,38890,heliport,Juan Y Luci Heliport,-32.6922,-64.7206,2404.0,AR-X,Alpa Corral,25
572,38961,heliport,Oreste Berta Heliport,-31.6269,-64.3922,1869.0,AR-X,Alta Gracia,25
573,38976,heliport,Polisur S.A. Heliport,-38.7742,-62.2939,16.0,AR-B,Bahía Blanca,25
574,38972,heliport,Planta Cruz Del Sur Heliport,-53.3228,-68.2658,173.0,AR-V,Bahía San Sebastián,25
575,39037,heliport,Transener S.A. Heliport,-33.0989,-68.5819,2220.0,AR-M,Barreales,25
